Date;Time;CO(GT);PT08.S1(CO);NMHC(GT);C6H6(GT);PT08.S2(NMHC);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH;Unnamed: 15;Unnamed: 16
14/12/2004;16.00.00;5.1;1574.0;-200.0;27.2;1483.0;775.0;460.0;186.0;1778.0;1962.0;16.8;48.4;0.9175;;
14/12/2004;17.00.00;7.4;-200.0;-200.0;-200.0;-200.0;1159.0;-200.0;257.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
14/12/2004;18.00.00;9.3;-200.0;-200.0;-200.0;-200.0;1310.0;-200.0;248.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
14/12/2004;19.00.00;7.4;-200.0;-200.0;-200.0;-200.0;1037.0;-200.0;208.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
14/12/2004;20.00.00;5.3;-200.0;-200.0;-200.0;-200.0;791.0;-200.0;167.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
14/12/2004;21.00.00;4.1;-200.0;-200.0;-200.0;-200.0;670.0;-200.0;148.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
14/12/2004;22.00.00;2.5;-200.0;-200.0;-200.0;-200.0;341.0;-200.0;112.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
14/12/2004;23.00.00;2.1;-200.0;-200.0;-200.0;-200.0;365.0;-200.0;108.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
15/12/2004;00.00.00;2.9;-200.0;-200.0;-200.0;-200.0;510.0;-200.0;115.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
15/12/2004;01.00.00;2.3;-200.0;-200.0;-200.0;-200.0;352.0;-200.0;96.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
15/12/2004;02.00.00;1.7;-200.0;-200.0;-200.0;-200.0;299.0;-200.0;87.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
15/12/2004;03.00.00;0.9;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
15/12/2004;04.00.00;0.7;-200.0;-200.0;-200.0;-200.0;103.0;-200.0;61.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
15/12/2004;05.00.00;0.8;-200.0;-200.0;-200.0;-200.0;133.0;-200.0;61.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
15/12/2004;06.00.00;1.0;-200.0;-200.0;-200.0;-200.0;244.0;-200.0;82.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
15/12/2004;07.00.00;1.2;-200.0;-200.0;-200.0;-200.0;222.0;-200.0;83.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
15/12/2004;08.00.00;3.5;-200.0;-200.0;-200.0;-200.0;591.0;-200.0;116.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
15/12/2004;09.00.00;4.5;-200.0;-200.0;-200.0;-200.0;821.0;-200.0;147.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
15/12/2004;10.00.00;4.9;-200.0;-200.0;-200.0;-200.0;803.0;-200.0;167.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
15/12/2004;11.00.00;3.5;-200.0;-200.0;-200.0;-200.0;809.0;-200.0;176.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
15/12/2004;12.00.00;3.4;-200.0;-200.0;-200.0;-200.0;836.0;-200.0;177.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
15/12/2004;13.00.00;4.0;-200.0;-200.0;-200.0;-200.0;820.0;-200.0;169.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
15/12/2004;14.00.00;4.3;-200.0;-200.0;-200.0;-200.0;861.0;-200.0;181.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
15/12/2004;15.00.00;4.0;-200.0;-200.0;-200.0;-200.0;842.0;-200.0;183.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
15/12/2004;16.00.00;4.7;-200.0;-200.0;-200.0;-200.0;933.0;-200.0;176.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
15/12/2004;17.00.00;6.6;-200.0;-200.0;-200.0;-200.0;1237.0;-200.0;229.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
15/12/2004;18.00.00;7.3;-200.0;-200.0;-200.0;-200.0;1137.0;-200.0;214.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
15/12/2004;19.00.00;3.6;-200.0;-200.0;-200.0;-200.0;484.0;-200.0;137.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
15/12/2004;20.00.00;2.4;-200.0;-200.0;-200.0;-200.0;325.0;-200.0;115.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
15/12/2004;21.00.00;2.1;-200.0;-200.0;-200.0;-200.0;292.0;-200.0;107.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
15/12/2004;22.00.00;2.1;-200.0;-200.0;-200.0;-200.0;303.0;-200.0;105.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
15/12/2004;23.00.00;1.7;-200.0;-200.0;-200.0;-200.0;242.0;-200.0;96.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
16/12/2004;00.00.00;2.2;-200.0;-200.0;-200.0;-200.0;314.0;-200.0;100.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
16/12/2004;01.00.00;2.0;-200.0;-200.0;-200.0;-200.0;289.0;-200.0;100.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
16/12/2004;02.00.00;1.6;-200.0;-200.0;-200.0;-200.0;224.0;-200.0;92.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
16/12/2004;03.00.00;1.7;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
16/12/2004;04.00.00;-200.0;-200.0;-200.0;-200.0;-200.0;191.0;-200.0;81.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
16/12/2004;05.00.00;1.0;-200.0;-200.0;-200.0;-200.0;149.0;-200.0;74.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
16/12/2004;06.00.00;1.0;-200.0;-200.0;-200.0;-200.0;212.0;-200.0;81.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
16/12/2004;07.00.00;1.6;-200.0;-200.0;-200.0;-200.0;398.0;-200.0;99.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
16/12/2004;08.00.00;3.5;-200.0;-200.0;-200.0;-200.0;763.0;-200.0;123.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
16/12/2004;09.00.00;5.3;-200.0;-200.0;-200.0;-200.0;905.0;-200.0;146.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
16/12/2004;10.00.00;4.6;-200.0;-200.0;-200.0;-200.0;849.0;-200.0;161.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
16/12/2004;11.00.00;4.5;-200.0;-200.0;-200.0;-200.0;1015.0;-200.0;210.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
16/12/2004;12.00.00;4.2;-200.0;-200.0;-200.0;-200.0;845.0;-200.0;190.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
16/12/2004;13.00.00;4.1;-200.0;-200.0;-200.0;-200.0;740.0;-200.0;170.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
16/12/2004;14.00.00;5.5;-200.0;-200.0;-200.0;-200.0;1018.0;-200.0;212.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
16/12/2004;15.00.00;4.8;-200.0;-200.0;-200.0;-200.0;1058.0;-200.0;217.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
16/12/2004;16.00.00;5.5;-200.0;-200.0;-200.0;-200.0;1182.0;-200.0;236.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
16/12/2004;17.00.00;5.2;-200.0;-200.0;-200.0;-200.0;1089.0;-200.0;217.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
16/12/2004;18.00.00;7.5;-200.0;-200.0;-200.0;-200.0;1186.0;-200.0;231.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
16/12/2004;19.00.00;8.6;-200.0;-200.0;-200.0;-200.0;1235.0;-200.0;227.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
16/12/2004;20.00.00;9.1;-200.0;-200.0;-200.0;-200.0;1253.0;-200.0;219.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
16/12/2004;21.00.00;8.6;-200.0;-200.0;-200.0;-200.0;1237.0;-200.0;203.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
16/12/2004;22.00.00;5.4;-200.0;-200.0;-200.0;-200.0;1060.0;-200.0;186.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
16/12/2004;23.00.00;4.3;-200.0;-200.0;-200.0;-200.0;873.0;-200.0;173.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
17/12/2004;00.00.00;4.2;-200.0;-200.0;-200.0;-200.0;807.0;-200.0;162.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
17/12/2004;01.00.00;4.3;-200.0;-200.0;-200.0;-200.0;798.0;-200.0;161.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
17/12/2004;02.00.00;4.2;-200.0;-200.0;-200.0;-200.0;691.0;-200.0;144.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
17/12/2004;03.00.00;2.8;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
17/12/2004;04.00.00;2.2;-200.0;-200.0;-200.0;-200.0;433.0;-200.0;119.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
17/12/2004;05.00.00;1.8;-200.0;-200.0;-200.0;-200.0;371.0;-200.0;112.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
17/12/2004;06.00.00;2.0;-200.0;-200.0;-200.0;-200.0;469.0;-200.0;111.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
17/12/2004;07.00.00;2.5;-200.0;-200.0;-200.0;-200.0;658.0;-200.0;122.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
17/12/2004;08.00.00;4.1;-200.0;-200.0;-200.0;-200.0;854.0;-200.0;137.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
17/12/2004;09.00.00;6.3;-200.0;-200.0;-200.0;-200.0;1005.0;-200.0;151.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
17/12/2004;10.00.00;5.0;-200.0;-200.0;-200.0;-200.0;937.0;-200.0;164.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
17/12/2004;11.00.00;5.1;-200.0;-200.0;-200.0;-200.0;963.0;-200.0;198.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
17/12/2004;12.00.00;3.6;-200.0;-200.0;-200.0;-200.0;635.0;-200.0;213.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
17/12/2004;13.00.00;3.5;-200.0;-200.0;-200.0;-200.0;521.0;-200.0;164.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
17/12/2004;14.00.00;3.7;-200.0;-200.0;-200.0;-200.0;613.0;-200.0;177.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
17/12/2004;15.00.00;3.1;-200.0;-200.0;-200.0;-200.0;516.0;-200.0;168.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
17/12/2004;16.00.00;3.2;-200.0;-200.0;-200.0;-200.0;446.0;-200.0;150.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
17/12/2004;17.00.00;3.8;-200.0;-200.0;-200.0;-200.0;499.0;-200.0;152.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
17/12/2004;18.00.00;3.2;-200.0;-200.0;-200.0;-200.0;407.0;-200.0;138.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
17/12/2004;19.00.00;3.2;-200.0;-200.0;-200.0;-200.0;418.0;-200.0;129.0;-200.0;-200.0;-200.0;-200.0;-200.0;;
17/12/2004;20.00.00;3.3;1325.0;-200.0;16.4;1191.0;403.0;564.0;130.0;1542.0;1389.0;13.3;68.0;1.0376;;
17/12/2004;21.00.00;3.1;1316.0;-200.0;13.4;1099.0;412.0;610.0;137.0;1451.0;1268.0;13.2;72.8;1.0984;;
17/12/2004;22.00.00;2.4;1170.0;-200.0;8.2;906.0;322.0;707.0;125.0;1317.0;1046.0;12.6;76.5;1.1106;;
17/12/2004;23.00.00;1.4;1061.0;-200.0;5.7;800.0;200.0;819.0;106.0;1232.0;862.0;12.6;74.3;1.0843;;
18/12/2004;00.00.00;2.1;1109.0;-200.0;7.0;855.0;244.0;787.0;121.0;1220.0;866.0;12.9;72.1;1.0658;;
18/12/2004;01.00.00;1.4;1025.0;-200.0;5.6;794.0;199.0;848.0;101.0;1202.0;788.0;13.1;70.5;1.0594;;
18/12/2004;02.00.00;1.4;1086.0;-200.0;5.1;769.0;190.0;822.0;100.0;1196.0;857.0;12.4;73.8;1.0574;;
18/12/2004;03.00.00;1.3;1058.0;-200.0;4.3;727.0;-200.0;834.0;-200.0;1193.0;860.0;12.2;74.5;1.0537;;
18/12/2004;04.00.00;1.0;1034.0;-200.0;4.2;719.0;153.0;858.0;86.0;1189.0;845.0;11.8;76.3;1.0547;;
18/12/2004;05.00.00;1.3;1065.0;-200.0;6.1;816.0;215.0;777.0;90.0;1245.0;873.0;10.8;80.0;1.0367;;
18/12/2004;06.00.00;1.0;988.0;-200.0;5.2;774.0;206.0;842.0;89.0;1189.0;841.0;10.4;77.3;0.9709;;
18/12/2004;07.00.00;1.1;986.0;-200.0;5.4;785.0;225.0;842.0;96.0;1173.0;853.0;10.0;76.2;0.9332;;
18/12/2004;08.00.00;2.1;1136.0;-200.0;11.0;1015.0;416.0;702.0;125.0;1287.0;1063.0;9.4;67.7;0.8018;;
18/12/2004;09.00.00;3.2;1256.0;-200.0;16.1;1184.0;613.0;582.0;143.0;1448.0;1276.0;9.3;71.2;0.8325;;
18/12/2004;10.00.00;3.3;1228.0;-200.0;15.7;1170.0;567.0;596.0;153.0;1375.0;1332.0;12.6;54.0;0.784;;
18/12/2004;11.00.00;2.3;956.0;-200.0;8.8;931.0;409.0;799.0;140.0;1046.0;1015.0;16.1;28.5;0.5164;;
18/12/2004;12.00.00;1.0;781.0;-200.0;3.9;704.0;183.0;1062.0;92.0;842.0;594.0;16.6;19.9;0.3728;;
18/12/2004;13.00.00;0.8;759.0;-200.0;3.8;699.0;140.0;1223.0;78.0;799.0;501.0;15.9;18.2;0.3255;;
18/12/2004;14.00.00;0.8;722.0;-200.0;3.3;671.0;133.0;1596.0;68.0;737.0;448.0;14.3;18.4;0.2991;;
18/12/2004;15.00.00;0.6;699.0;-200.0;2.4;613.0;115.0;1731.0;64.0;682.0;387.0;15.0;16.3;0.2749;;
18/12/2004;16.00.00;0.9;755.0;-200.0;3.6;690.0;157.0;1653.0;80.0;750.0;467.0;14.9;17.1;0.2875;;
18/12/2004;17.00.00;0.8;746.0;-200.0;3.5;684.0;149.0;1301.0;81.0;764.0;484.0;13.2;18.8;0.2837;;
18/12/2004;18.00.00;1.2;784.0;-200.0;4.6;744.0;219.0;1080.0;102.0;802.0;608.0;12.4;19.6;0.2797;;
18/12/2004;19.00.00;2.1;931.0;-200.0;9.9;972.0;424.0;868.0;132.0;974.0;953.0;11.9;21.3;0.2957;;
18/12/2004;20.00.00;3.9;1112.0;-200.0;19.0;1267.0;659.0;671.0;162.0;1250.0;1307.0;11.1;24.8;0.3264;;
18/12/2004;21.00.00;4.4;1133.0;-200.0;17.2;1215.0;727.0;674.0;179.0;1196.0;1415.0;10.1;29.7;0.3666;;
18/12/2004;22.00.00;2.0;886.0;-200.0;8.4;917.0;398.0;908.0;148.0;901.0;1023.0;10.2;23.8;0.2955;;
18/12/2004;23.00.00;2.3;993.0;-200.0;11.4;1030.0;414.0;805.0;146.0;1005.0;1154.0;9.4;27.4;0.3239;;
19/12/2004;00.00.00;3.6;1215.0;-200.0;15.6;1167.0;600.0;664.0;164.0;1181.0;1426.0;7.9;39.0;0.4154;;
19/12/2004;01.00.00;3.9;1160.0;-200.0;13.0;1083.0;596.0;706.0;162.0;1114.0;1363.0;7.6;40.6;0.4273;;
19/12/2004;02.00.00;1.6;928.0;-200.0;6.2;819.0;225.0;919.0;118.0;923.0;1006.0;6.4;43.7;0.4242;;
19/12/2004;03.00.00;1.0;879.0;-200.0;4.2;722.0;-200.0;1014.0;-200.0;878.0;873.0;6.3;44.7;0.4293;;
19/12/2004;04.00.00;-200.0;833.0;-200.0;2.7;632.0;120.0;1107.0;78.0;834.0;760.0;5.1;46.5;0.4125;;
19/12/2004;05.00.00;1.0;840.0;-200.0;3.0;649.0;126.0;1044.0;79.0;869.0;799.0;3.3;53.5;0.418;;
19/12/2004;06.00.00;0.8;848.0;-200.0;2.4;612.0;83.0;1169.0;62.0;852.0;703.0;4.8;49.9;0.4325;;
19/12/2004;07.00.00;0.7;828.0;-200.0;3.1;660.0;156.0;1078.0;85.0;881.0;781.0;2.2;60.1;0.4361;;
19/12/2004;08.00.00;1.0;847.0;-200.0;3.8;698.0;240.0;1034.0;110.0;905.0;815.0;2.5;59.3;0.4401;;
19/12/2004;09.00.00;1.0;868.0;-200.0;3.2;665.0;186.0;1067.0;99.0;865.0;800.0;3.2;55.7;0.4344;;
19/12/2004;10.00.00;1.5;970.0;-200.0;6.2;819.0;224.0;923.0;101.0;959.0;926.0;5.0;48.8;0.429;;
19/12/2004;11.00.00;2.5;1077.0;-200.0;9.6;963.0;386.0;761.0;129.0;1081.0;1151.0;5.8;49.8;0.4613;;
19/12/2004;12.00.00;2.6;1058.0;-200.0;9.6;962.0;397.0;778.0;132.0;1058.0;1153.0;6.0;47.6;0.4488;;
19/12/2004;13.00.00;3.2;1136.0;-200.0;12.5;1067.0;477.0;702.0;148.0;1143.0;1298.0;7.4;44.6;0.4613;;
19/12/2004;14.00.00;3.0;1228.0;-200.0;12.5;1068.0;405.0;658.0;134.0;1264.0;1238.0;5.2;73.1;0.6535;;
19/12/2004;15.00.00;3.4;1235.0;-200.0;14.0;1118.0;453.0;612.0;148.0;1354.0;1222.0;4.8;81.4;0.7055;;
